number of images:  37
1/f alpha -2.00833517987
1.42195125e-07
 
Photoreceptor Activity (proportion of diffraction)
 
index	obj_dist_mm	focus_D	off_axis_deg	wavelen_nm	pupil_mm	proportion
103	46.416	2.0	10.0	780.0	3.0	0.069
104	46.416	2.0	10.0	800.0	3.0	0.069
105	46.416	2.5	10.0	400.0	3.0	0.064
106	46.416	2.5	10.0	420.0	3.0	0.061
107	46.416	2.5	10.0	440.0	3.0	0.064
108	46.416	2.5	10.0	460.0	3.0	0.063
109	46.416	2.5	10.0	480.0	3.0	0.064
110	46.416	2.5	10.0	500.0	3.0	0.064
111	46.416	2.5	10.0	520.0	3.0	0.066
112	46.416	2.5	10.0	540.0	3.0	0.066
113	46.416	2.5	10.0	560.0	3.0	0.066
114	46.416	2.5	10.0	580.0	3.0	0.066
115	46.416	2.5	10.0	600.0	3.0	0.066
116	46.416	2.5	10.0	620.0	3.0	0.069
117	46.416	2.5	10.0	640.0	3.0	0.069
118	46.416	2.5	10.0	660.0	3.0	0.069
119	46.416	2.5	10.0	680.0	3.0	0.068
120	46.416	2.5	10.0	700.0	3.0	0.069
121	46.416	2.5	10.0	720.0	3.0	0.067
122	46.416	2.5	10.0	740.0	3.0	0.067
123	46.416	2.5	10.0	760.0	3.0	0.067
124	46.416	2.5	10.0	780.0	3.0	0.067
125	46.416	2.5	10.0	800.0	3.0	0.067
126	46.416	3.0	10.0	400.0	3.0	0.061
127	46.416	3.0	10.0	420.0	3.0	0.062
128	46.416	3.0	10.0	440.0	3.0	0.062
129	46.416	3.0	10.0	460.0	3.0	0.064
130	46.416	3.0	10.0	480.0	3.0	0.064
131	46.416	3.0	10.0	500.0	3.0	0.064
132	46.416	3.0	10.0	520.0	3.0	0.064
133	46.416	3.0	10.0	540.0	3.0	0.066
134	46.416	3.0	10.0	560.0	3.0	0.066
135	46.416	3.0	10.0	580.0	3.0	0.066
136	46.416	3.0	10.0	600.0	3.0	0.067
137	46.416	3.0	10.0	620.0	3.0	0.066
138	46.416	3.0	10.0	640.0	3.0	0.066
139	46.416	3.0	10.0	660.0	3.0	0.066
140	46.416	3.0	10.0	680.0	3.0	0.066
141	46.416	3.0	10.0	700.0	3.0	0.066
142	46.416	3.0	10.0	720.0	3.0	0.066
143	46.416	3.0	10.0	740.0	3.0	0.066
144	46.416	3.0	10.0	760.0	3.0	0.067
145	46.416	3.0	10.0	780.0	3.0	0.067
146	46.416	3.0	10.0	800.0	3.0	0.067
147	46.416	3.5	10.0	400.0	3.0	0.059
148	46.416	3.5	10.0	420.0	3.0	0.059
149	46.416	3.5	10.0	440.0	3.0	0.061
150	46.416	3.5	10.0	460.0	3.0	0.064
151	46.416	3.5	10.0	480.0	3.0	0.064
152	46.416	3.5	10.0	500.0	3.0	0.064
153	46.416	3.5	10.0	520.0	3.0	0.065
154	46.416	3.5	10.0	540.0	3.0	0.064
155	46.416	3.5	10.0	560.0	3.0	0.064
156	46.416	3.5	10.0	580.0	3.0	0.066
157	46.416	3.5	10.0	600.0	3.0	0.067
158	46.416	3.5	10.0	620.0	3.0	0.066
159	46.416	3.5	10.0	640.0	3.0	0.066
160	46.416	3.5	10.0	660.0	3.0	0.066
161	46.416	3.5	10.0	680.0	3.0	0.066
162	46.416	3.5	10.0	700.0	3.0	0.066
163	46.416	3.5	10.0	720.0	3.0	0.064
164	46.416	3.5	10.0	740.0	3.0	0.064
165	46.416	3.5	10.0	760.0	3.0	0.064
166	46.416	3.5	10.0	780.0	3.0	0.064
167	46.416	3.5	10.0	800.0	3.0	0.064
168	46.416	4.0	10.0	400.0	3.0	0.058
169	46.416	4.0	10.0	420.0	3.0	0.059
170	46.416	4.0	10.0	440.0	3.0	0.061
171	46.416	4.0	10.0	460.0	3.0	0.062
172	46.416	4.0	10.0	480.0	3.0	0.061
173	46.416	4.0	10.0	500.0	3.0	0.064
174	46.416	4.0	10.0	520.0	3.0	0.064
